Book,Chapter,Audio Duration (s),RMS Energy,Silence Fraction,Word Count,Readability Score,Words Per Second (WPS)
Rev,Chapter_21,341.328,0.14445554,0.34453394779605934,488,114.22,1.429709839216238
Rev,Chapter_13,244.248,0.15073925,0.3276906736868538,354,113.2,1.449346565785595
Rev,Chapter_16,279.84,0.14991334,0.35244336049170955,384,113.2,1.37221269296741
Rev,Chapter_18,362.976,0.14191884,0.3516280461150783,511,113.1,1.407806576743366
Rev,Chapter_17,262.752,0.14670788,0.3610237346750294,389,114.01,1.4804834977469248
Rev,Chapter_4,173.4,0.14910333,0.36199730872741254,234,114.01,1.3494809688581315
Rev,Chapter_14,323.808,0.15154119,0.3307959500691768,466,113.51,1.4391244194090325
Rev,Chapter_5,204.168,0.15026541,0.3479399726369134,288,111.78,1.4106030327965204
Rev,Chapter_2,367.464,0.14985304,0.3595067589387441,539,113.4,1.4668103542115691
Rev,Chapter_1,264.024,0.14069088,0.38183160748012807,377,112.9,1.4279004938944944
Rev,Chapter_3,296.952,0.15028092,0.3431017470837038,429,113.51,1.4446779277458983
Rev,Chapter_15,126.48,0.1523184,0.34118207094665826,182,113.4,1.4389626818469323
Rev,Chapter_10,149.928,0.14907092,0.3476051838215677,230,113.61,1.5340696867829893
Rev,Chapter_7,234.072,0.15155204,0.34433724808321087,329,114.42,1.4055504289278513
Col,Chapter_4,177.12,0.16344312,0.3022797632490214,267,114.22,1.5074525745257452
Col,Chapter_2,265.056,0.15880345,0.2813836195621554,392,112.29,1.4789327538331523
Col,Chapter_1,313.224,0.16053766,0.2736067744915247,491,110.87,1.5675682578601895
Col,Chapter_3,233.4,0.16414705,0.3070772636389603,352,114.32,1.508140531276778
3John,Chapter_1,137.76,0.16502382,0.2954458841463415,207,114.12,1.5026132404181185
